epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,369.872,0.85678,0.78903,0.97805,0.4197,0.8419,0.47234,0.34158,0.99465,1.3529,1.04636,0.000738414,0.000738414,0.000738414
56,376.458,0.85075,0.77819,0.98864,0.42083,0.81744,0.44627,0.32296,0.97638,1.49475,1.05125,0.000712751,0.000712751,0.000712751
57,383.124,0.86512,0.79799,1.00249,0.43652,0.80016,0.47094,0.35072,0.95342,1.32734,1.03714,0.000687214,0.000687214,0.000687214
58,390.036,0.84808,0.76187,0.988,0.39146,0.82531,0.45741,0.33117,0.95639,1.56016,1.01884,0.000661831,0.000661831,0.000661831
59,396.895,0.81651,0.73456,0.97182,0.37672,0.79493,0.40881,0.29452,0.92471,1.65935,1.01222,0.000636625,0.000636625,0.000636625
60,403.724,0.8462,0.7414,0.97707,0.4225,0.74032,0.4614,0.33282,0.94939,1.41917,1.03989,0.000611621,0.000611621,0.000611621
61,410.661,0.82539,0.72659,0.96689,0.41683,0.81786,0.45047,0.32421,0.93623,1.59635,1.01855,0.000586845,0.000586845,0.000586845
62,417.67,0.83828,0.75746,0.98278,0.42933,0.76585,0.44549,0.31948,0.95766,1.36744,1.0293,0.00056232,0.00056232,0.00056232
63,424.507,0.82341,0.71633,0.97314,0.42726,0.82639,0.47308,0.34342,0.95341,1.40945,1.05132,0.000538072,0.000538072,0.000538072
64,431.298,0.83434,0.71097,0.98061,0.44283,0.64424,0.43077,0.31036,0.97705,1.43356,1.0517,0.000514122,0.000514122,0.000514122
65,438.204,0.83041,0.70581,0.97356,0.42429,0.76067,0.46963,0.34036,0.9718,1.37702,1.04462,0.000490497,0.000490497,0.000490497
66,445.09,0.82559,0.69929,0.98075,0.40263,0.77128,0.44809,0.33163,0.93977,1.74175,1.03901,0.000467218,0.000467218,0.000467218
67,451.891,0.80141,0.69322,0.96401,0.46325,0.77366,0.49145,0.35969,0.95371,1.31189,1.02597,0.000444309,0.000444309,0.000444309
68,458.81,0.7803,0.67511,0.95138,0.43661,0.75119,0.46608,0.34738,0.95853,1.38829,1.04709,0.000421792,0.000421792,0.000421792
69,465.811,0.78499,0.66045,0.96257,0.43282,0.74321,0.45277,0.32569,0.97144,1.55476,1.04621,0.000399689,0.000399689,0.000399689
70,472.775,0.79701,0.65,0.96908,0.43161,0.72821,0.46108,0.33178,0.99051,1.49447,1.0497,0.000378023,0.000378023,0.000378023
71,479.751,0.79346,0.66647,0.96123,0.44142,0.64502,0.44753,0.31955,0.9924,1.53291,1.05727,0.000356815,0.000356815,0.000356815
