epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3501.5,1.32726,0.59008,1.46985,0.45352,0.81665,0.46407,0.33894,1.43543,0.75024,1.50624,0.0002723,0.0002723,0.0002723
71,3550.99,1.25819,0.57912,1.42279,0.42625,0.75866,0.44013,0.33454,1.39502,0.72113,1.52416,0.000269,0.000269,0.000269
72,3599.8,1.2964,0.57913,1.42935,0.44995,0.73522,0.40889,0.28704,1.53682,0.83168,1.53106,0.0002657,0.0002657,0.0002657
73,3648.86,1.31251,0.5779,1.43166,0.43299,0.81038,0.44718,0.32347,1.48698,0.7585,1.57912,0.0002624,0.0002624,0.0002624
74,3697.63,1.27281,0.57085,1.42903,0.47018,0.73429,0.46309,0.34202,1.42036,0.73153,1.53147,0.0002591,0.0002591,0.0002591
75,3747.36,1.26562,0.55327,1.42377,0.45228,0.68577,0.41621,0.29818,1.51815,0.92381,1.54018,0.0002558,0.0002558,0.0002558
76,3797.03,1.31938,0.56145,1.4265,0.45325,0.77642,0.44006,0.32841,1.36826,0.76953,1.48829,0.0002525,0.0002525,0.0002525
77,3845.74,1.24531,0.55548,1.40288,0.45206,0.73048,0.40149,0.29967,1.436,0.85724,1.50202,0.0002492,0.0002492,0.0002492
78,3895.07,1.27045,0.55209,1.4132,0.43765,0.77194,0.42912,0.31513,1.40284,0.80505,1.5134,0.0002459,0.0002459,0.0002459
79,3943.99,1.27335,0.54873,1.42636,0.41174,0.76616,0.43194,0.31931,1.41814,0.7649,1.48265,0.0002426,0.0002426,0.0002426
80,3993.17,1.26743,0.55385,1.42133,0.42791,0.74993,0.41714,0.30556,1.43553,0.78664,1.55611,0.0002393,0.0002393,0.0002393
81,4042.17,1.23412,0.535,1.40205,0.42684,0.72544,0.40801,0.3036,1.40001,0.77607,1.51408,0.000236,0.000236,0.000236
82,4091.47,1.26547,0.52758,1.41403,0.43238,0.71723,0.37907,0.27956,1.4566,0.84997,1.52163,0.0002327,0.0002327,0.0002327
83,4140.79,1.25413,0.53972,1.4177,0.42905,0.70078,0.38565,0.29329,1.4028,0.90408,1.49057,0.0002294,0.0002294,0.0002294
84,4189.83,1.22255,0.51415,1.39213,0.44907,0.76668,0.44078,0.33121,1.40202,0.80471,1.47014,0.0002261,0.0002261,0.0002261
85,4238.94,1.25586,0.53746,1.42841,0.43351,0.67003,0.38198,0.2867,1.38918,0.85012,1.47201,0.0002228,0.0002228,0.0002228
86,4288.11,1.23433,0.52672,1.39428,0.43595,0.70548,0.40719,0.3116,1.33154,0.84894,1.46969,0.0002195,0.0002195,0.0002195
87,4336.99,1.26065,0.53724,1.41913,0.40772,0.66099,0.3721,0.27966,1.36913,0.85104,1.49914,0.0002162,0.0002162,0.0002162
88,4386.11,1.22988,0.50788,1.38879,0.43013,0.7172,0.39318,0.28809,1.42151,0.84579,1.50016,0.0002129,0.0002129,0.0002129
89,4434.94,1.22572,0.51933,1.39545,0.47008,0.72869,0.4404,0.32414,1.44067,0.80417,1.52291,0.0002096,0.0002096,0.0002096
90,4483.65,1.21696,0.53316,1.40827,0.43071,0.69048,0.41627,0.30772,1.43565,0.81639,1.52283,0.0002063,0.0002063,0.0002063
91,4532.68,1.23891,0.51949,1.41422,0.42444,0.76441,0.40997,0.3079,1.33298,0.76758,1.46422,0.000203,0.000203,0.000203
92,4582.07,1.19697,0.51199,1.39977,0.43885,0.75466,0.44934,0.33778,1.32559,0.75609,1.46848,0.0001997,0.0001997,0.0001997
93,4631.22,1.18827,0.50408,1.37012,0.45034,0.72947,0.42016,0.31262,1.36326,0.85142,1.47935,0.0001964,0.0001964,0.0001964
94,4680.5,1.21226,0.49516,1.393,0.43744,0.67947,0.40644,0.3011,1.43898,0.81639,1.51866,0.0001931,0.0001931,0.0001931
95,4729.7,1.19804,0.4894,1.38877,0.43389,0.77765,0.4334,0.3179,1.42271,0.77639,1.48381,0.0001898,0.0001898,0.0001898
96,4778.96,1.1723,0.48183,1.3759,0.42783,0.69745,0.40543,0.30664,1.3504,0.80581,1.47487,0.0001865,0.0001865,0.0001865
97,4827.58,1.19748,0.48962,1.3998,0.47397,0.68701,0.41355,0.30744,1.33098,0.89056,1.47745,0.0001832,0.0001832,0.0001832
98,4876.52,1.19563,0.47665,1.37352,0.4431,0.62019,0.38627,0.28845,1.37618,0.87672,1.4835,0.0001799,0.0001799,0.0001799
99,4925.7,1.19518,0.47677,1.38364,0.4376,0.72496,0.3915,0.28818,1.41296,0.8553,1.49237,0.0001766,0.0001766,0.0001766
100,4974.85,1.17706,0.47001,1.37843,0.43847,0.66704,0.37955,0.28665,1.38667,0.96559,1.48759,0.0001733,0.0001733,0.0001733
101,5024.15,1.21902,0.49424,1.39172,0.44943,0.65905,0.38543,0.29568,1.3782,0.97372,1.4863,0.00017,0.00017,0.00017
102,5073.23,1.15444,0.46547,1.37014,0.42794,0.70947,0.40312,0.30397,1.34024,0.90146,1.459,0.0001667,0.0001667,0.0001667
103,5121.91,1.16842,0.47765,1.36143,0.45444,0.67353,0.39898,0.30222,1.33198,0.9219,1.45438,0.0001634,0.0001634,0.0001634
104,5171.67,1.19669,0.46994,1.39891,0.44568,0.671,0.4094,0.30261,1.35679,0.79841,1.49069,0.0001601,0.0001601,0.0001601
